feature	Phocaeicola_vulgatus	Faecalibacterium_prausnitzii	Bacteroides_uniformis	Prevotella_copri_clade_A	Bacteroides_stercoris	Phocaeicola_dorei	Bacteroides_ovatus	Bacteroides_fragilis	Eubacterium_rectale	Alistipes_putredinis	Bacteroides_caccae	Parabacteroides_distasonis	Bacteroides_xylanisolvens	Roseburia_faecis	Bacteroides_thetaiotaomicron	Roseburia_intestinalis	Phocaeicola_massiliensis	Alistipes_onderdonkii	Parabacteroides_merdae	Akkermansia_muciniphila	Escherichia_coli	Bacteroides_eggerthii	Sutterella_wadsworthensis	Dialister_invisus	Bacteroides_faecis	Bacteroides_cellulosilyticus	Lachnospira_eligens	Faecalibacterium_SGB15346	Eubacterium_siraeum	Barnesiella_intestinihominis	Alistipes_finegoldii	Phascolarctobacterium_faecium	Prevotella_sp_885	Flavonifractor_plautii	Lachnospira_pectinoschiza	Veillonella_parvula	Enterocloster_bolteae	Dysosmobacter_welbionis	Candidatus_Cibionibacter_quicibialis	Firmicutes_bacterium_AF16_15	Ruminococcus_bicirculans	Clostridium_sp_AF34_10BH	Odoribacter_splanchnicus	Alistipes_shahii	Ruminococcus_bromii	Bacteroides_finegoldii	Anaerostipes_hadrus	Prevotella_copri_clade_B	Roseburia_inulinivorans	Prevotella_marseillensis	Bacteroides_caecigallinarum	Phocaeicola_coprocola	Fusicatenibacter_saccharivorans	Ruminococcus_gnavus	Dysosmobacter_sp_BX15	Faecalibacterium_SGB15315	Alistipes_SGB2313	Ruminococcus_torques	Waltera_intestinalis	Blautia_wexlerae	Phocaeicola_plebeius	Ruminococcus_sp_BSD2780120874_150323_B10	Oscillibacter_sp_ER4	Parasutterella_excrementihominis	Acidaminococcus_intestini	Veillonella_dispar	Klebsiella_pneumoniae	GGB3746_SGB5089	GGB1266_SGB1699	Dorea_longicatena	GGB1543_SGB2126	Coprococcus_eutactus	Paraprevotella_clara	Prevotella_copri_clade_E	GGB3278_SGB4328	Roseburia_hominis	Prevotella_copri_clade_C	GGB1680_SGB2312	Bacteroides_ilei	GGB3277_SGB4327	Clostridium_sp_AF36_4	Clostridium_fessum	Lacrimispora_amygdalina	Akkermansia_sp_KLE1798	Bifidobacterium_longum	Clostridiales_bacterium	Clostridiaceae_bacterium	Clostridium_sp_AM22_11AC	GGB9708_SGB15234	Bifidobacterium_adolescentis	Alistipes_dispar	Enterocloster_clostridioformis	Eisenbergiella_massiliensis	Eubacterium_ventriosum	Lachnospira_sp_NSJ_43	Prevotella_stercorea	GGB9342_SGB14306	Hungatella_hathewayi	GGB781_SGB1024	Blautia_obeum	Haemophilus_parainfluenzae	Blautia_faecis	Bilophila_wadsworthia	Clostridium_leptum	Parasutterella_SGB9260	Clostridium_symbiosum	Ruthenibacterium_lactatiformans	Clostridium_sp_AF20_17LB	GGB9713_SGB15249	GGB51647_SGB4348	Roseburia_sp_AF02_12	GGB1549_SGB2133	Clostridium_sp_AT4	GGB6601_SGB9333	GGB4237_SGB5728	Phocaeicola_sartorii	Proteus_mirabilis	Clostridium_sp_1001270H_150608_G6	Alistipes_communis	Dysgonomonas_mossii	GGB33469_SGB15236	Vescimonas_coprocola	Rikenellaceae_bacterium	Prevotella_SGB48271	Bacteroides_salyersiae	Ruminococcus_lactaris	GGB3304_SGB4367	Bacteroides_intestinalis	Phascolarctobacterium_succinatutens	Bacteroides_mediterraneensis	Collinsella_aerofaciens	GGB33512_SGB15201	GGB3175_SGB4191	Clostridium_sp_AM49_4BH	Lactobacillus_acidophilus	GGB16040_SGB9347	Collinsella_SGB14861	Veillonella_rogosae	Butyrivibrio_crossotus	GGB9453_SGB14844	Lacrimispora_celerecrescens	Coprococcus_comes	Tyzzerella_nexilis	Oscillospiraceae_bacterium	Clostridiaceae_bacterium_Marseille_Q4149	GGB3267_SGB4317	GGB9480_SGB14874	GGB3478_SGB14857	Gemmiger_formicilis	GGB58485_SGB80143	GGB28645_SGB41268
CSM5FZ3N_P	-1.22930578663843	-4.05277261507067	-1.89302927057337	NA	NA	-12.599461559493	NA	-6.88061986940015	NA	NA	-5.26469631292102	NA	NA	-4.48947839699833	-4.12872568465547	NA	NA	NA	NA	NA	NA	NA	NA	-6.33358927424121	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.68684120857684	NA	NA	-7.87091226651578	-8.92707253137787	NA	NA	-7.23158003254661	NA	NA	NA	NA	NA	-10.8424492715086	NA	NA	NA	NA	NA	-7.26114425795592	-8.70946076043309	NA	NA	NA	-7.40753285607187	NA	-12.8628664095556	NA	NA	NA	NA	NA	NA	NA	-9.24285844370314	NA	-8.6779528721227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.63538210642864	-6.53692868693333	NA	NA	NA	-8.03517262703663	-8.06259465487137	NA	NA	NA	NA	-6.08513871550649	-12.8573197089866	NA	NA	NA	NA	-16.8299016462078	NA	-9.26692366908523	NA	NA	NA	NA	NA	-12.7292076465883	-10.9567169878862	NA	NA	NA	NA	NA	-8.11065716590922	NA	NA	-15.3284241309897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.02312882375361	NA	NA	-7.69553718449435	NA	NA	NA	NA
CSM5FZ3R_P	-0.897117659854037	-7.07886267705469	-1.98504577348632	NA	-6.89694882683365	-15.0471822389355	-11.7019106970722	-7.42642946604792	-14.2828517455981	-10.4978276607216	-6.1952781773677	-11.1622864672937	-15.016808589892	-7.50868370016893	-3.71292480480714	NA	NA	-17.7604688366324	-12.0933160269463	NA	NA	NA	-16.6789389511357	-5.67307538110992	-14.0860712523291	-14.781592128198	-13.7901288101525	NA	-11.8418829073913	NA	NA	NA	NA	-6.45599812116404	NA	NA	-9.13204449124797	-7.81250916521057	-12.5081334522348	NA	-9.90321110569027	NA	NA	NA	NA	NA	-8.0816844753555	NA	-11.4255979415057	NA	NA	NA	-6.85163987384526	-12.70291781407	NA	NA	NA	-8.13982275837657	NA	-11.5019849709127	NA	NA	NA	NA	NA	NA	NA	-8.57818998199011	NA	-10.1650595484759	NA	NA	NA	NA	NA	-10.8521809575819	NA	NA	NA	NA	-9.18023218376487	-7.76674050567192	NA	NA	-11.0297025169559	-7.71919172093355	-9.94014142589246	NA	NA	NA	NA	-6.77499091154573	-9.92229099110769	NA	NA	NA	NA	NA	NA	-11.3040905419725	NA	NA	NA	-11.9803296773605	NA	NA	-8.93318152869684	NA	NA	NA	NA	NA	-7.9916305685654	NA	NA	-14.5794032775847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.2543342689005	NA	NA	-9.11326143735784	NA	NA	NA	NA
CSM5FZ3T_P	-0.75832559596763	NA	NA	NA	NA	-8.28920798077454	NA	-3.28169467757207	-10.9703332098647	NA	NA	NA	-3.5514836366906	-9.17323227622665	-2.87486913435714	NA	NA	NA	NA	NA	NA	NA	NA	-5.41042147280789	-13.8107696991059	NA	NA	NA	NA	NA	NA	NA	NA	-8.04590314106495	NA	NA	-5.32429018331142	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.9496969171704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.6126619298929	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6333236941228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.1281213837576	-5.28935691889301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.5528525346576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ3V_P	-1.90975447346932	-5.07434909429137	-1.32039054703451	NA	NA	-6.96924719632583	-9.15510400805328	-3.37875435754265	NA	-10.2812165624779	-5.15615622353247	-13.9474791653009	NA	-6.28537114629744	-3.302973704338	NA	NA	-15.7372152347224	NA	-6.80756036307505	-11.3484944359088	NA	NA	-5.54587373106283	-14.4947571903318	NA	NA	NA	NA	NA	NA	-15.7092008585528	NA	-9.0313457207819	NA	-16.2531360910139	-9.86290685381718	-10.0014877777358	-12.2641329402307	NA	-10.7787667674525	NA	NA	NA	NA	NA	-8.05635588555072	NA	-10.5950581107875	NA	NA	NA	-9.82514777971792	-13.017323153915	NA	NA	NA	-10.3604727043216	NA	-11.4414538018164	NA	NA	NA	NA	-10.7369205967062	NA	NA	-9.89657099445443	NA	-11.1812226904902	NA	NA	NA	NA	NA	-11.7419376449647	NA	NA	NA	NA	-12.19451208979	-8.46060423387335	NA	NA	NA	-8.8783403512934	-10.4472265139168	NA	NA	NA	NA	-9.70963442581092	-16.0059183906428	NA	NA	NA	NA	NA	NA	-10.98827699889	NA	NA	NA	-12.7742247497197	NA	NA	-11.6469817088468	NA	NA	NA	NA	NA	-10.876310844388	NA	NA	-14.6862640472756	NA	NA	NA	NA	NA	NA	NA	NA	-15.0877124818064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.9071402361646	-9.47668768449908	NA	NA	NA	NA
CSM5FZ3X_P	-0.599235081678166	-8.11909439574966	-10.1495067954442	-16.2221654042453	-9.54822125130375	-8.63273865537954	NA	-2.53221705311569	-8.07784424954039	-10.9689137089868	NA	-12.5429761413583	-4.38236298209218	-9.97847995931997	-4.26747939239703	-12.1759658847753	NA	-14.9711036400776	-9.91281119922645	NA	-6.48362644659212	NA	NA	-13.7147638868178	-8.91544461029069	NA	-13.1781326361826	-9.96610295901921	NA	NA	NA	NA	NA	-9.22608298547957	NA	NA	-5.58467976151503	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.1054347997035	NA	-13.2014494272052	NA	NA	NA	NA	NA	NA	NA	-8.53312044070432	NA	NA	-12.8000658772682	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.3982981650007	NA	NA	NA	NA	NA	-11.2534272170112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.19585917739692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.7594856903353	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16.6332340013213	NA	-15.8931011280764	NA	NA	-16.2102913039571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.4904256193046	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ3Z_P	-1.21709949191044	NA	-7.97747668419624	NA	NA	-15.0978827637426	NA	-2.02887378620267	-8.62388274618179	NA	-16.0652165748223	NA	-3.64728536046815	-11.4802540741011	-3.00599320302575	NA	NA	NA	NA	-12.0188662584985	-7.63735652390076	NA	NA	-5.13843379602837	-13.1172852949651	NA	NA	NA	NA	NA	NA	NA	NA	-6.40997957081346	NA	NA	-4.58993685483656	NA	NA	NA	NA	-12.0531549575454	NA	NA	NA	-19.3239508432228	-12.2663458501374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.1298975708872	NA	NA	NA	NA	NA	-9.3651910076933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.38480456533627	NA	NA	NA	NA	NA	-17.2244151696715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.2889554218662	-12.7400621758526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.4343382390457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.5795975036593	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ42_P	-0.609060475484238	-12.9058023517413	-14.0905697007779	NA	-18.4268530886424	-15.1880662290553	-16.3842087512339	-3.94184898796066	-6.55299376119119	-12.5788561820873	-15.6956698470701	NA	-4.22415989229604	-8.51198962914495	-4.35495838459951	NA	NA	NA	NA	NA	NA	NA	NA	-5.6488663357728	-14.6826919930719	NA	-11.0049565766	NA	NA	-14.1548298995812	NA	NA	NA	-5.976580033488	NA	NA	-3.79153854410823	NA	NA	NA	NA	-15.110707346349	NA	NA	NA	NA	-7.92223269623874	NA	NA	NA	NA	NA	NA	NA	NA	-14.2893495648924	NA	NA	NA	-10.4768513395588	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.61390569545818	NA	NA	-13.9648007698459	NA	NA	-9.39442159226914	NA	NA	NA	NA	NA	NA	NA	NA	-13.6913309113458	NA	NA	NA	NA	NA	NA	-4.54591890233546	NA	NA	NA	NA	NA	-11.0400421421701	NA	-17.4268530886424	NA	-13.7945848731428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.0324761436852	NA	-13.1743768745071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.80964277841762	NA	NA	NA	NA	-16.9209621589124	NA	NA	NA	NA	NA	NA	-10.6660998805793	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ44_P	-0.863233245721123	-7.02765386289964	-9.52684417940984	NA	NA	-16.8726958023199	NA	-3.34207412153177	-5.37422862343913	NA	NA	NA	-2.93151597103563	-8.4882624369412	-3.01955716247197	NA	NA	NA	NA	NA	NA	NA	-12.7698849967359	-5.92218724384376	-14.1536404060113	NA	NA	NA	NA	NA	NA	NA	NA	-8.53336634609088	NA	NA	-5.14025303110472	NA	NA	-13.1693764524024	-12.6032351273265	NA	NA	NA	NA	NA	-9.14080377476903	NA	NA	NA	NA	NA	NA	-14.3912894934252	NA	NA	NA	NA	NA	-13.6356566050189	NA	-11.6012934109622	NA	NA	NA	NA	NA	NA	NA	-9.75469859292125	NA	NA	NA	NA	NA	-13.2752961983603	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.3193033805995	NA	NA	NA	NA	NA	-6.72810376701134	NA	NA	NA	NA	NA	-14.858711572884	NA	NA	NA	NA	NA	NA	NA	-16.5247724988994	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.6516423091916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.2591335348586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.3896129156178	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ46_P	-0.843610681405322	-14.6019413181491	-17.9942587409281	NA	NA	-18.7047521237336	NA	-2.36046803865046	-8.98925805986947	NA	NA	NA	-3.79607804725198	-9.93822321513399	-2.84079137380868	NA	NA	NA	NA	NA	-8.23733183144028	NA	NA	-7.75867659813387	-13.8787815235079	NA	NA	NA	NA	NA	NA	NA	NA	-10.4561776134741	NA	NA	-5.7422750706802	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.3312937282054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.772403136357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.66867219571727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.3568288203126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.3007717834285	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ4A_P	-1.73488907422192	-6.15588514039197	-2.05863280953778	NA	-2.04794866122809	-15.1076365204256	-4.36435632909846	NA	-8.05858252931272	NA	-5.25378312557764	-5.78539559743174	-13.1374640870821	NA	-14.6496058033784	NA	NA	NA	-6.25449903855642	-10.4208867843766	NA	-12.4218838782313	NA	NA	-5.83911741272969	-12.297350779603	-10.4716054157145	-8.44612466219895	NA	NA	-6.73698013598242	-6.36723754372721	NA	-6.86661607927732	-9.0636314039656	NA	-10.5813983631852	-6.30122163664888	NA	NA	NA	NA	NA	NA	NA	-7.06983068413478	-11.1270191904848	NA	-9.96375858850946	NA	NA	NA	-13.0621537506316	NA	NA	NA	NA	NA	NA	-12.9235200309438	NA	NA	NA	-7.9308112115083	NA	NA	NA	NA	NA	-12.1726130732187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.4957584729452	NA	NA	-13.7382371026507	-8.76740626054326	-9.71605273358476	-8.86370024144152	NA	NA	NA	NA	-11.5652242341723	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.43329972419609	-11.3427059177234	NA	NA	-10.0730773996678	NA	NA	NA	NA	NA	-9.86648032815599	NA	NA	-15.2420628406465	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.9485911918084	NA	NA	NA	NA	-13.4821746574247	NA	NA	NA	NA	-11.0396328746311	NA	NA	NA	NA	-14.3903137992305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSM5FZ4C_P	-2.80541526782274	-4.61069586164249	-1.94351248157716	NA	NA	NA	NA	-2.54551745161216	NA	NA	-5.47032243345634	NA	NA	-5.09326517106035	-2.15756232366453	-14.6342629224881	NA	NA	NA	-4.28047697513372	NA	NA	NA	-5.70442253207509	-13.8588231805072	NA	NA	NA	NA	NA	NA	NA	NA	-6.3647360593007	NA	NA	-11.2038731608489	-7.20086231793164	NA	NA	-11.8927554467715	-16.1807512753947	NA	NA	NA	NA	-11.9885017272808	NA	-9.16531176868439	NA	NA	NA	-11.7615672467631	NA	NA	NA	NA	-10.6130286484773	NA	-12.7920541682945	NA	NA	NA	NA	NA	NA	NA	-8.7572114362024	NA	-13.7053022594199	NA	NA	NA	NA	NA	-9.99752945133879	NA	NA	NA	NA	-10.864846968135	-9.42060037796989	NA	NA	NA	-7.80586432463128	-13.4174515334149	NA	NA	NA	NA	-10.930826951887	-15.8740899371605	NA	NA	NA	NA	-13.3770166690157	NA	-10.2987518553277	NA	NA	NA	-9.54323661249366	NA	NA	-10.2861462205339	NA	NA	NA	NA	NA	-12.9665173774453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.17099630812938	NA	NA	NA	NA
CSM5FZ4E_P	-8.57596794678057	-4.3221144639964	-1.50941087719224	NA	NA	-2.91287609133294	-2.7392417046066	NA	NA	-4.00759703907648	-10.9486099809678	-4.84896751914544	-11.3338336215827	NA	-5.4998238107607	NA	NA	-4.85509871492372	-14.3778408038218	NA	NA	NA	NA	NA	-15.1645967646995	NA	NA	NA	-8.27827188270408	NA	-12.0174889588925	-6.33119966482813	NA	-10.6720096591752	NA	NA	-13.8143154737629	-8.58187300337494	-4.76507421955514	NA	NA	-12.2100452419408	-8.31509019308331	NA	-7.30365196814481	-15.3276550466536	NA	NA	NA	NA	NA	NA	-9.95499458324278	-8.61770230481186	-16.3400387711095	NA	NA	-10.3651297520722	NA	-9.3916715395247	NA	NA	NA	NA	-4.47012257170354	NA	NA	-10.715463874688	NA	-9.4264271328734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.45250299616091	-8.87848876086114	-7.97703691515517	NA	NA	NA	-11.2610138397204	NA	NA	NA	NA	NA	NA	NA	-8.97938085562347	NA	-10.9916158522631	-8.44287138361113	NA	NA	-13.9195703080165	-9.86696288181033	-12.1400280434778	NA	NA	-14.1645967646995	NA	-9.46447476247987	NA	NA	-15.7468086544047	NA	NA	NA	NA	NA	-13.4052294719359	NA	NA	-7.08716946738896	NA	NA	NA	NA	NA	NA	-17.5541635764623	NA	NA	NA	NA	-12.2739495806516	NA	NA	NA	-9.71495978836528	-9.6305389650939	NA	NA	NA	-6.65032690977501	NA	NA	NA	NA	NA
CSM5FZ4G_P	-12.7325685114138	-2.29348067965915	-2.40115990467162	NA	-15.0828577424871	-2.4213522384633	-3.38386907340519	NA	NA	-3.60245732302521	-16.1479527707089	-6.58641513157314	-12.1583945174306	NA	-5.4396514422389	NA	NA	-5.94921496978914	NA	NA	NA	NA	NA	NA	-14.65856792997	NA	NA	-13.9152920139187	-6.11932411944871	NA	NA	-5.53330662627003	NA	-8.64363796281879	NA	NA	-14.4390015527124	-7.55558198721735	-3.9716357525328	NA	NA	NA	-9.21821638846386	NA	-7.62393853551945	-16.299955864154	NA	NA	NA	NA	NA	NA	-8.84853338391736	-9.8742647456586	-11.5579127905987	NA	NA	-13.970648238901	NA	-8.93049832880884	NA	NA	NA	NA	-5.41520480858961	NA	NA	-9.20021469312521	NA	-8.72394802884143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.5074297245983	NA	NA	-7.08788043749267	-9.64810688362572	-9.78567172168498	NA	NA	NA	-12.2702085207599	NA	NA	NA	NA	NA	NA	NA	-8.75115041870885	NA	-11.2941873836944	-8.95137901511873	-11.3742809749076	NA	-13.5611418455954	-11.6133356261429	-11.3366398350826	NA	NA	NA	NA	-10.8064596070079	NA	NA	-14.8941961784632	NA	NA	NA	NA	NA	-12.632131651685	NA	NA	-6.70001124209305	NA	NA	NA	NA	NA	NA	-8.66929203211694	NA	NA	NA	NA	-12.6311617726294	NA	NA	-11.765179120601	-10.1001996392606	-8.79439874931741	NA	NA	NA	-6.47008408402503	NA	NA	NA	NA	NA
CSM5FZ4K_P	-13.1481680834969	-2.83351503853141	-2.11985106756695	-15.7865698431796	NA	-1.99516055085264	-3.75399773818159	NA	NA	-3.80941144560657	NA	-6.76634987261743	-12.9145774555556	NA	-6.63850102896546	NA	NA	-5.19092530664539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.06310744672315	NA	NA	-7.55129316004076	NA	-7.40444205881066	NA	NA	-12.5041953170149	-7.38287444936663	-4.6391328971622	NA	NA	NA	-9.102802779288	NA	-7.4977980616221	NA	-10.6277775840719	NA	NA	NA	NA	NA	-8.44408978829249	-12.0482438575491	-12.2500476975161	NA	NA	-10.3414378399686	NA	-9.46067751997406	NA	NA	NA	NA	-4.62075821599386	NA	NA	-12.9071599839931	NA	-7.89030408810815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1145003707315	NA	NA	-6.77291797822427	-8.82347383348828	-8.94044872653933	NA	NA	NA	-11.6570276051323	NA	NA	NA	NA	NA	NA	NA	-6.53085831970008	NA	-9.1648404702925	-13.1584051921233	-8.65780540821029	NA	-12.5554543483294	-11.173527533491	-8.56326630354183	NA	NA	NA	NA	-10.5324474282169	NA	NA	-15.2665627842992	NA	NA	NA	NA	NA	-11.1562054025623	NA	NA	-6.38661685105245	NA	NA	NA	NA	NA	NA	-9.70351707774058	NA	NA	NA	NA	-10.3428964759398	NA	NA	-13.3034131896341	-11.3437306448216	-7.98505974359659	NA	NA	NA	-5.95263555448171	NA	NA	NA	NA	NA
CSM5FZ4M	-12.912765804395	-3.63787556778235	-2.02058863776746	NA	NA	-1.45711526495234	-3.0062032397407	NA	NA	-4.64699822385054	NA	-4.47070106447984	-12.8456516085365	NA	-5.99360925084062	NA	NA	-7.77956241807871	NA	NA	-11.4293850632873	NA	NA	NA	NA	NA	NA	NA	-9.5386647472206	NA	NA	-7.97603439935368	NA	-9.23773850542694	NA	NA	NA	-9.13607690042456	-7.18821946948288	NA	NA	NA	-8.91319524182664	NA	-7.51835074785173	NA	NA	NA	NA	NA	NA	NA	-9.68498561735029	-11.1948174363992	NA	NA	NA	NA	NA	-11.7186187012874	NA	NA	NA	NA	-6.04021061934486	NA	NA	-10.8629691047546	NA	-8.68988275389523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.20534093241114	NA	NA	-8.9858627246499	-10.0606401034906	-9.98225372954488	NA	NA	NA	-15.6650793628947	NA	NA	NA	NA	NA	NA	NA	-9.45125387531667	NA	-14.1165767999897	-12.4671399852828	-10.8304308715977	NA	NA	NA	-8.89300741776234	NA	NA	NA	NA	-9.31564141887235	NA	NA	NA	NA	NA	NA	NA	NA	-12.8239565374372	NA	NA	-7.40857421873108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.1573695048216	NA	NA	NA	-11.0933571334308	-9.91405450036359	NA	NA	NA	-6.13118751727083	NA	NA	NA	NA	NA
CSM5LLGB_P	-1.10068149337503	-4.41951193013486	-10.5718508642165	NA	NA	-6.33346877319063	-13.7117992200053	NA	-4.1257184585233	-10.8309821360067	NA	-14.3415932906237	NA	-5.17520694139054	-16.7599665024661	-3.39686770611561	NA	NA	-12.9912920485723	-10.0812685634788	-9.59388092864628	NA	-15.7334942911047	-6.34311685861052	NA	NA	-4.427277214198	-14.5261693178572	NA	NA	NA	NA	NA	-4.95365060107015	NA	-12.95388435953	-11.9487999664582	-4.96939676740021	-4.81415691756502	-12.0984083109577	-8.12231296713756	NA	NA	NA	NA	NA	-6.66417879656457	NA	-6.73600684907843	NA	NA	NA	-7.00864974846196	-19.0123536641006	NA	NA	NA	NA	NA	-7.25026479650248	NA	-9.11406349459863	NA	NA	NA	-10.0060688425648	NA	-13.9424695699877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.43090382834015	NA	NA	NA	-15.8424286626578	NA	NA	NA	NA	-14.8144142864883	NA	-9.11789251803313	-4.77397966035178	-14.8952453611013	NA	NA	NA	-12.2621885721791	NA	-6.87643694656299	-10.2352434235768	-9.59648764872381	NA	NA	NA	-8.76198557265934	-10.6134842525818	-5.60040658128666	NA	NA	NA	NA	NA	NA	NA	-14.1631785663479	NA	NA	-10.2300299044047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.97706938136548	NA	NA	NA	NA	NA	NA	-10.9383696578325	NA	-8.51749807960892	-8.88352534959341	NA	-8.40084059921763	NA	NA	NA	NA	NA	NA	NA	NA
